window,timestamp_sec,avg_latency_ms,median_latency_ms,max_latency_ms,min_latency_ms,p90_latency_ms,p99_latency_ms,throughput_req_per_sec,avg_connect_ms,avg_bytes,avg_sent_bytes,avg_threads,all_threads,error_rate,label,phase
0,6.431342471135806,24.28767123287671,17.0,193,5,43.0,179.80000000000018,14.6,0.1917808219178082,11217.198630136987,260.6917808219178,7.260273972602739,7.260273972602739,0.0,0,normal
1,15.665989806457441,49.005102040816325,17.0,293,5,139.90000000000003,266.4399999999996,39.2,0.017857142857142856,11179.255102040815,271.84183673469386,16.510204081632654,16.510204081632654,0.0,0,normal
2,24.674575688525405,160.6426799007444,25.0,2907,4,282.4000000000001,2725.6600000000003,40.3,0.0,11216.62034739454,270.8709677419355,20.0,20.0,0.0,0,normal
3,35.08963657423263,81.58370044052863,21.0,958,4,178.39999999999998,744.8099999999993,45.4,0.0,11216.640969162996,273.9537444933921,20.0,20.0,0.0,0,normal
4,45.544729802945646,168.00252525252526,15.0,1752,4,586.0,1656.9,39.6,0.0,11232.310606060606,273.5833333333333,20.0,20.0,0.0,0,normal
5,55.146971019898885,59.18012422360248,16.0,891,4,107.80000000000001,627.1800000000001,48.3,0.0,11195.668737060041,275.72670807453414,20.0,20.0,0.0,0,normal
6,65.29229897715382,70.05567010309278,29.0,900,4,122.20000000000005,716.3199999999999,48.5,0.024742268041237112,11188.659793814433,272.38762886597937,20.0,20.0,0.0,0,normal
7,74.99246316156889,71.97052631578947,26.0,837,4,173.60000000000002,448.9399999999998,47.5,0.014736842105263158,11223.25894736842,273.58526315789476,20.0,20.0,0.0,0,normal
8,84.85667857527733,115.02232142857143,45.0,1247,5,191.0,1197.1799999999998,44.8,0.002232142857142857,11210.658482142857,273.27901785714283,20.0,20.0,0.0,0,normal
9,94.91132710525923,115.6588785046729,44.5,1052,5,239.50000000000017,921.2500000000005,42.8,0.0,11240.231308411216,273.69392523364485,20.0,20.0,0.0,0,normal
10,105.03244423819615,44.391389432485326,15.0,798,5,97.0,620.8999999999997,51.1,0.0,11182.589041095891,274.21135029354207,20.0,20.0,0.0,0,normal
11,115.06405696738118,46.856540084388186,14.0,650,4,108.39999999999998,496.50999999999976,47.4,0.0,11246.240506329113,272.9388185654008,20.0,20.0,0.0,0,normal
12,124.8934594126031,40.40990099009901,16.0,232,4,107.20000000000005,197.67999999999984,50.5,0.0297029702970297,11209.942574257426,271.8138613861386,20.0,20.0,0.0,0,normal
13,135.0063277694527,79.46137787056368,24.0,1010,4,179.39999999999998,796.5399999999997,47.9,0.03549060542797495,11191.0,274.96033402922757,20.0,20.0,0.0,0,normal
14,145.451231118838,106.58222222222223,29.5,1069,4,311.5000000000001,894.9099999999996,45.0,0.0044444444444444444,11228.986666666666,272.50888888888886,20.0,20.0,0.0,0,normal
15,155.0033982765107,76.72727272727273,61.5,380,5,169.0,307.7299999999999,46.2,0.0,11162.848484848484,274.987012987013,20.0,20.0,0.0,0,normal
16,165.2892939831837,132.5590361445783,51.0,1187,5,303.4000000000002,954.0200000000001,41.5,0.0,11216.612048192772,274.2265060240964,20.0,20.0,0.0,0,normal
17,174.94852128485417,62.97021276595745,30.0,407,4,176.0,296.03000000000003,47.0,0.0,11268.910638297872,272.84893617021277,19.170212765957448,19.170212765957448,0.0,0,normal
0,184.94852128485417,535.7916666666666,476.5,2321,5,1042.8,1896.959999999995,103.2,0.18313953488372092,11206.130813953489,261.31976744186045,88.40697674418605,88.40697674418605,0.0,1,anomaly
1,194.5528434025811,517.6638198757764,503.5,1404,9,829.3,1098.4299999999987,128.8,0.0,11178.937888198758,271.3695652173913,100.0,100.0,0.0,1,anomaly
