window,timestamp_sec,avg_latency_ms,median_latency_ms,max_latency_ms,min_latency_ms,p90_latency_ms,p99_latency_ms,throughput_req_per_sec,avg_connect_ms,avg_bytes,avg_sent_bytes,avg_threads,all_threads,error_rate,label,phase
0,2.882194459438324,38.77777777777778,20.5,193,6,92.0,190.89999999999998,7.2,0.6944444444444444,11301.527777777777,257.4166666666667,3.75,3.75,0.0,0,normal
1,7.592881820418618,19.545454545454547,16.0,78,5,35.10000000000001,73.72999999999999,22.0,0.02727272727272727,11189.6,261.76363636363635,8.409090909090908,8.409090909090908,0.0,0,normal
2,12.667077433678411,51.58064516129032,17.0,281,5,147.39999999999995,253.36000000000013,31.0,0.025806451612903226,11071.03870967742,269.5741935483871,13.580645161290322,13.580645161290322,0.0,0,normal
3,17.627303805532335,47.32067510548523,17.0,293,5,127.4,277.7999999999997,47.4,0.012658227848101266,11250.029535864978,273.32489451476795,18.426160337552744,18.426160337552744,0.0,0,normal
4,22.492683128074365,73.38683127572017,17.0,2907,4,202.8000000000004,447.87999999999863,48.6,0.0,11227.786008230452,269.87654320987656,20.0,20.0,0.0,0,normal
5,27.988325014710426,293.1625,59.5,2818,5,712.9999999999989,2795.1,32.0,0.0,11199.6625,272.38125,20.0,20.0,0.0,0,normal
6,32.51128637573936,108.38181818181818,20.0,958,5,416.19999999999993,884.1000000000003,44.0,0.0,11230.395454545454,276.0681818181818,20.0,20.0,0.0,0,normal
7,37.51372650443998,56.388888888888886,22.0,458,4,130.10000000000005,377.02999999999986,46.8,0.0,11203.709401709402,271.96581196581195,20.0,20.0,0.0,0,normal
8,42.245310813994024,371.5135135135135,46.5,1752,4,1414.1000000000006,1683.18,29.6,0.0,11276.074324324325,275.30405405405406,20.0,20.0,0.0,0,normal
9,47.51373790925549,46.55241935483871,14.0,548,5,102.00000000000011,470.01,49.6,0.0,11206.193548387097,272.55645161290323,20.0,20.0,0.0,0,normal
10,52.4949830528033,88.26271186440678,19.0,891,4,175.5,666.7000000000003,47.2,0.0,11191.385593220339,274.70338983050846,20.0,20.0,0.0,0,normal
11,57.680854259714906,31.39271255060729,15.0,195,5,89.0,161.31999999999994,49.4,0.0,11199.761133603239,276.7044534412955,20.0,20.0,0.0,0,normal
12,62.58606697086777,101.22767857142857,42.0,900,5,192.40000000000003,744.0100000000001,44.8,0.017857142857142856,11364.017857142857,267.01339285714283,20.0,20.0,0.0,0,normal
13,67.61488889825755,43.30268199233716,24.0,173,4,104.0,158.79999999999984,52.2,0.03065134099616858,11038.16091954023,277.0,20.0,20.0,0.0,0,normal
14,72.43574369354408,51.3235294117647,22.5,361,4,120.30000000000001,315.2999999999995,47.6,0.012605042016806723,11266.453781512606,271.7689075630252,20.0,20.0,0.0,0,normal
15,77.55997047545034,92.70464135021098,32.0,837,5,287.6,470.8399999999999,47.4,0.016877637130801686,11179.881856540085,275.40928270042195,20.0,20.0,0.0,0,normal
16,82.39431950858025,50.70954356846473,24.0,324,5,120.0,235.99999999999994,48.2,0.004149377593360996,11155.41908713693,270.3153526970954,20.0,20.0,0.0,0,normal
17,87.723483092543,189.8985507246377,74.0,1247,6,858.8000000000001,1217.28,41.4,0.0,11274.971014492754,276.7294685990338,20.0,20.0,0.0,0,normal
18,92.60545833243265,116.04629629629629,39.0,1052,5,327.5,927.6499999999999,43.2,0.0,11292.986111111111,275.18981481481484,20.0,20.0,0.0,0,normal
19,97.26070283606367,115.26415094339623,50.5,948,5,202.80000000000007,877.6899999999997,42.4,0.0,11186.481132075472,272.1698113207547,20.0,20.0,0.0,0,normal
20,102.62313741491042,49.17175572519084,15.0,653,5,110.70000000000002,487.9299999999988,52.4,0.0,11230.309160305344,273.3358778625954,20.0,20.0,0.0,0,normal
21,107.56753816470564,39.36144578313253,14.0,798,5,65.0,724.1600000000001,49.8,0.0,11132.37751004016,275.13253012048193,20.0,20.0,0.0,0,normal
22,112.58492641841178,58.246753246753244,14.0,650,4,166.0,551.2999999999995,46.2,0.0,11257.324675324675,272.06060606060606,20.0,20.0,0.0,0,normal
23,117.42076131640148,36.02880658436214,15.0,276,5,74.80000000000001,260.6399999999999,48.6,0.0,11235.703703703704,273.77366255144034,20.0,20.0,0.0,0,normal
24,122.45400761651449,25.365019011406844,14.0,146,4,61.80000000000001,114.11999999999989,52.6,0.026615969581749048,11197.627376425855,274.4182509505703,20.0,20.0,0.0,0,normal
25,127.54459917446799,56.760330578512395,33.5,232,5,150.9,217.18,48.4,0.03305785123966942,11223.326446280991,268.9834710743802,20.0,20.0,0.0,0,normal
26,132.30912288467763,107.40677966101696,26.0,1010,5,304.0,877.9500000000005,47.2,0.05084745762711865,11282.677966101695,278.228813559322,20.0,20.0,0.0,0,normal
27,137.6258353941725,52.32098765432099,21.0,312,4,144.20000000000005,228.13999999999947,48.6,0.0205761316872428,11101.962962962964,271.7860082304527,20.0,20.0,0.0,0,normal
28,142.72663777093499,192.54591836734693,105.5,1069,6,457.0,979.350000000001,39.2,0.01020408163265306,11315.668367346938,272.3520408163265,20.0,20.0,0.0,0,normal
29,147.55367322981826,40.24803149606299,16.0,294,4,115.70000000000002,228.92999999999998,50.8,0.0,11162.098425196851,272.62992125984255,20.0,20.0,0.0,0,normal
30,152.58143534948087,82.87931034482759,85.0,292,6,168.70000000000002,210.69,46.4,0.0,11251.693965517241,278.28879310344826,20.0,20.0,0.0,0,normal
